Gene Symbol,Pearson,Spearman
ENPP4,0.81964931,0.829951478
LMO7,0.81946681,0.833543029
PPFIBP1,0.818952371,0.811351539
PLAT,0.818911676,0.774996072
PDLIM7,0.818740832,0.819652815
ACAA2,0.818036653,0.855379203
PALLD,0.817813529,0.830597574
RAB34,0.817267141,0.797435711
SERPINE1,0.817124212,0.794871179
HCLS1,0.81698851,0.52299518
EPB41L2,0.816597068,0.82047789
MXRA7,0.815710236,0.867048224
TYRP1,0.815649162,0.584466589
STK10,0.815314072,0.813125298
SPINT1,0.815162498,0.846481975
YAP1,0.815161227,0.690487784
LAT2,0.815068804,0.711298022
PAG1,0.815002617,0.837675989
MISP,0.814535532,0.819895332
ASCL2,0.814531321,0.80670597
MSN,0.814319473,0.786257834
SYT7,0.814130775,0.857832274
SLAMF1,0.813701802,0.644087327
SVIL,0.813593069,0.825417296
MPZL3,0.813556091,0.8
SNX29P2,0.813377236,0.593929326
EMB,0.813375939,0.828783086
GGT1,0.813365911,0.80407395
NNMT,0.813048864,0.768338123
ECM1,0.813048187,0.77776676
ITGB7,0.812992637,0.582302824
ERAP2,0.812660532,0.844338565
BAIAP2L1,0.812652462,0.796460942
CTNND1,0.812510208,0.752971892
FSCN1,0.812500182,0.824087447
SIRPA,0.812119583,0.863088286
ANXA3,0.811888571,0.851651913
TRAF3IP3,0.811717477,0.499519572
TMEM119,0.811591191,0.688973765
MTAP,0.811488514,0.755555451
MARCKS,0.811447616,0.776312753
CD74,0.811333221,0.745010422
SPARC,0.811322269,0.75857258
MYO1D,0.811311922,0.858103056
LAYN,0.811200494,0.734476424
PON2,0.810860619,0.811081763
COL11A1,0.810519276,0.421088797
RRAS2,0.810245057,0.82428743
C1QL1,0.810196814,0.799854145
EFNB1,0.809750794,0.820891569
AMIGO2,0.809666709,0.849699199
CD40,0.809638617,0.847717888
CCND2,0.809385233,0.688501742
RASSF2,0.809281222,0.791429957
ENTPD7,0.809160031,0.766666667
RAB25,0.809065895,0.775718668
NOXA1,0.80904125,0.736068376
HDGFRP3,0.808774074,0.783190181
NRCAM,0.808738555,0.805406791
PRKCA,0.808528139,0.820452511
SCARF1,0.80851161,0.40845666
SLC44A2,0.808408247,0.835900991
EPS8,0.808236178,0.812424067
ITGA8,0.807754089,0.675850591
ITGB1,0.807740964,0.808471884
CD109,0.807592023,0.832074532
AXL,0.807460146,0.829120759
MSI2,0.807332967,0.802176779
ARHGDIB,0.807258421,0.773269069
PCDHB7,0.807250146,0.691286799
LAMB1,0.807144434,0.804501606
LGALS3,0.807041112,0.844716206
SMPDL3B,0.807021286,0.845964746
PODXL,0.806570871,0.819577616
DPP4,0.806429755,0.736481163
IGF2BP3,0.806423298,0.783378884
EPS8L2,0.806336843,0.846224653
KDELC2,0.80625176,0.818670527
CA2,0.806079062,0.833269257
GATM,0.80600918,0.790643352
RBMS1,0.805988507,0.726392271
TUBA4A,0.805797327,0.779650653
CMBL,0.805672198,0.846616158
EPS8L3,0.805475867,0.516100816
ITGA4,0.805474396,0.739138547
LMNA,0.805239285,0.688943147
ITGB3,0.805197781,0.761032475
RHOF,0.804967403,0.829368648
QPRT,0.804957635,0.842396078
NEIL1,0.804910514,0.810644258
AK4,0.804845879,0.800908499
QKI,0.804636251,0.750003172
EPN2,0.804591777,0.778424673
ANXA1,0.804410743,0.816054538
PSMB9,0.804386517,0.830874871
FERMT3,0.804290842,0.450123726
MYOF,0.804072682,0.791583811
CT47A1,0.803837339,0.504548657
MEIS2,0.803682938,0.866104079
SH3KBP1,0.803603422,0.818824685
AZU1,0.803249724,0.325909222
ZHX2,0.80323325,0.834829639
STXBP2,0.803150553,0.726726466
ARHGAP29,0.802804341,0.865508757
RRAS,0.802551437,0.810404031
SH2D4A,0.802538605,0.819193396
GSR,0.80246661,0.780284206
CPEB2,0.802383418,0.784575605
F3,0.802287151,0.818741026
IGFBP7,0.802246388,0.806006058
MAPT,0.802030625,0.786510456
MVP,0.801993797,0.825356667
AGR2,0.801894439,0.689556725
CKMT1A,0.801562737,0.849572658
GNAT3,0.801151162,0.40682781
LRCH1,0.80098483,0.761378682
CDH15,0.800892103,0.56043956
RAI14,0.800863084,0.773954556
SELENBP1,0.800526048,0.810178903
AHNAK,0.800523188,0.702815736
L1CAM,0.800412663,0.840514456
SPOCK2,0.8000996,0.541209406
AGXT,0.800036446,0.607504999
FDXR,0.799824629,0.799611315
H2AFY2,0.799592365,0.859832
HMGA1,0.799574169,0.748886466
CD97,0.799533833,0.764547854
PPL,0.799479743,0.844537138
ANXA4,0.799147994,0.727468352
PROM2,0.799059884,0.720160902
CACNA2D1,0.799041761,0.809297214
FOXG1,0.79902585,0.778806841
NMNAT3,0.798987811,0.847879986
EDNRA,0.798854002,0.474644453
PHLDB2,0.798784713,0.804411367
IQGAP2,0.798645367,0.7644414
RHOH,0.798501267,0.753328846
ST18,0.798223157,0.636850218
BIN1,0.798185466,0.820775397
TRIM2,0.798120029,0.838335092
LIMD2,0.798029196,0.803587631
KLK6,0.797838743,0.644743653
CMTM4,0.797808042,0.760560292
EMP3,0.797650444,0.835669413
MSLN,0.797636942,0.704013146
VAT1,0.797615184,0.787972844
RNF223,0.797485275,0.820530909
ANXA2,0.797420317,0.829036018
SH3BP1,0.797407505,0.810510954
PCDH1,0.79717392,0.849522838
CXADR,0.797019491,0.800690892
ME1,0.796986304,0.797313277
SERPINB1,0.796901803,0.838628133
NEXN,0.796786893,0.804287524
EPHB2,0.796495867,0.853193964
NXN,0.796394179,0.820857646
PKP3,0.796299659,0.860663115
SLC1A1,0.796290238,0.871563342
TENM3,0.796210821,0.853590646
LDHB,0.796189561,0.749554093
RAB27A,0.796127303,0.747997236
SYNPO,0.795927164,0.837375833
KLF5,0.795788937,0.853377204
PXDN,0.795780246,0.772644212
FHL1,0.795768794,0.834990847
ROBO1,0.795615671,0.846528739
CAV2,0.79541951,0.856509305
HMGN5,0.795357269,0.830386782
PTPRG,0.79534224,0.792713207
MAP7,0.795316623,0.835948695
PPP1R9A,0.795239098,0.851087891
S100A16,0.795155389,0.819958781
PTGFRN,0.795155317,0.844213547
KCTD12,0.795047234,0.862366547
NR3C1,0.794784024,0.810671927
ZNF707,0.794760768,0.416666667
RASSF5,0.794598986,0.775071707
KCNAB2,0.794589035,0.728951419
PROCR,0.79457662,0.81296691
S100A10,0.794496336,0.74187321
EIF4E3,0.794464867,0.76864394
EDIL3,0.794393699,0.743907177
CYB561,0.794241272,0.792690134
ENAH,0.794236499,0.804051822
SCML2,0.794128339,0.842076649
DPYSL2,0.794092842,0.804349093
AKR1B1,0.793985609,0.793832969
CNTN6,0.793783693,0.73640812
EMX2,0.793760464,0.492950302
ERMP1,0.793675207,0.763960126
GSPT2,0.793670095,0.818048686
MAPK8IP1,0.793604873,0.595238095
PLS1,0.793573443,0.808236417
CSPG4,0.793403288,0.690295791
FAM174A,0.793322335,0.749760478
FKBP5,0.793249864,0.809514566
EPN3,0.79306257,0.768198804
SEPT3,0.79285587,0.82124759
EPB41,0.792842319,0.756727147
MFI2,0.792811233,0.831477169
SPG20,0.792769508,0.834624251
ZEB2,0.792741387,0.785696903
SPRY4,0.792730391,0.831156333
CRIP2,0.792708015,0.837192536
TOM1L2,0.792404285,0.789163574
TPM1,0.792134599,0.795201592
OSMR,0.792122375,0.828793109
NPW,0.791995437,0.85
ST6GALNAC2,0.791825058,0.798026779
PEG3,0.791819694,0.475348459
LPHN2,0.791697935,0.835321063
ABCC2,0.791655961,0.725304933
LILRB4,0.7916479,0.267112129
ULBP3,0.791499624,0.754809389
PLEKHA5,0.791366777,0.772056719
UGT2A3,0.791137401,0.607768812
SERPINE2,0.791115336,0.786600225
SLC26A2,0.791064734,0.779593797
C15orf52,0.79097311,0.840158435
AKAP12,0.790895141,0.818270797
SYTL1,0.790775877,0.813490249
ARRB1,0.790719691,0.814494392
ARMCX2,0.790717767,0.828646387
IL18,0.79062057,0.817077011
CAMK1,0.790598177,0.840821033
TBC1D2,0.790577316,0.811522617
NFIA,0.790553716,0.819185612
FKBP9,0.790274728,0.752041538
KLK2,0.790226597,0.253780416
HPCAL1,0.790158713,0.793527343
ATP2A3,0.789972791,0.741336037
LPCAT2,0.789799827,0.869615803
ANTXR2,0.789746701,0.812300917
CDH3,0.789718784,0.754294926
FAM129A,0.789706631,0.809272519
SLC38A5,0.78969532,0.616674962
DSG3,0.789639675,0.43246801
RAB11FIP1,0.789430631,0.785966673
ITGA6,0.789367187,0.794908081
GDA,0.789239397,0.679198989
OCLN,0.789129116,0.830447411
TRIM3,0.789118731,0.770720445
SLC15A2,0.789112793,0.702686203
COL6A1,0.789005809,0.840726423
CD274,0.788938721,0.801816849
MICALL1,0.788904321,0.788886983
AIF1L,0.788608475,0.849185147
SFTPA1,0.788590279,0.488300712
TFPI2,0.78843045,0.761073092
TGFB2,0.788417973,0.810280485
COBLL1,0.788272378,0.834661219
DSG2,0.788202537,0.845852652
SPINT2,0.788126149,0.822718354
PALM,0.787856115,0.825851267
GSTT1,0.787805708,0.839158171
KLK11,0.787726395,0.655648156
GALNT3,0.787450781,0.821179122
MCU,0.787435306,0.787648313
EPHX1,0.787374707,0.799204535
TRPS1,0.787319183,0.836749096
NRP2,0.787306071,0.835380593
CA12,0.787293417,0.743134412
PRDX2,0.787284712,0.783983296
RAB3B,0.787267238,0.816665072
PDZK1,0.787214117,0.687264483
SPAG1,0.787126011,0.750910262
RNASET2,0.787085292,0.77361005
ETHE1,0.787083268,0.77778736
IRF6,0.787063462,0.787207237
TP53I3,0.786996479,0.777370005
CDIP1,0.786818641,0.840505458
CES1,0.786635953,0.473099763
VSNL1,0.786551747,0.689031678
IL1RAP,0.786544949,0.833719884
RAB12,0.786344959,0.7673227
AKR1C3,0.786316975,0.760942057
SLC9A3R2,0.786257281,0.80543948
PLAU,0.786236781,0.823951619
SYNGR2,0.786033481,0.787338161
SORBS1,0.785792468,0.800928474
FGD4,0.785708718,0.803435659
GATA4,0.785597073,0.79841961
COL5A2,0.785576698,0.651092071
CALU,0.785460853,0.773591251
CADM1,0.785448719,0.80547661
CD59,0.785428106,0.785116923
FLNA,0.785236029,0.770503622
MYOD1,0.78523005,0.293865218
TPSAB1,0.785218299,0.469333294
GPX2,0.785158128,0.545522826
RAB32,0.785112826,0.809982211
TST,0.785102178,0.739634861
SNTB1,0.785095217,0.805578128
KYNU,0.785086834,0.798275808
CAPG,0.784828806,0.817523976
MGMT,0.784819069,0.759880384
HTATIP2,0.784668927,0.807861126
KREMEN2,0.784606998,0.794473032
LAMC2,0.784561722,0.793911693
PFN2,0.784538013,0.75228429
LMX1B,0.784496084,0.494662632
CLDN4,0.78440307,0.795612496
CTTN,0.784248052,0.651064185
ITGA7,0.784139509,0.701864569
CTTNBP2NL,0.784137767,0.68075843
IDH2,0.784108856,0.794730188
TTC9,0.784048622,0.826475591
ASGR1,0.783844188,0.447873303
HSD17B11,0.783834751,0.770787264
CPNE8,0.783810827,0.805343988
CD1B,0.78376298,0.339451429
ANXA8,0.783688654,0.626379994
EFCAB4B,0.783505733,0.816942004
EFNB2,0.78347386,0.812486079
PTPN7,0.783221211,0.403000809
AQP5,0.783175556,0.696423926
NAPRT1,0.782881812,0.810462545
ATF5,0.78281058,0.624615385
PTPRK,0.782641436,0.803908943
CDH6,0.782634029,0.651262931
PPP1R18,0.78257108,0.776704493
KIAA1217,0.782490639,0.812831787
PPAP2C,0.782465761,0.797052668
TPD52L1,0.782395459,0.808955038
HOXC10,0.782322418,0.869979402
AKR1B10,0.782118783,0.524335125
PARD6B,0.78211735,0.792496737
CDH13,0.782069512,0.600794086
ASS1,0.782056259,0.8217222
ID4,0.781880039,0.773729947
PTP4A3,0.781818341,0.766930171
BNC1,0.781720866,0.525374547
ZNF239,0.781477659,0.898147358
RAB31,0.781201785,0.830190023
GPC6,0.781188746,0.80619434
ITGB2,0.781139856,0.711487928
KHDRBS3,0.781131307,0.861750028
SEC14L4,0.781073085,0.618386071
AIFM2,0.781050792,0.762777121
TTC22,0.780999364,0.683333333
ITGA5,0.780816986,0.817218714
ARHGAP10,0.780652648,0.732067788
DHRS2,0.780637738,0.6456005
PACSIN3,0.780501001,0.801384603
PLEKHF2,0.780403073,0.732806313
METTL7A,0.780229675,0.8104562
NCS1,0.780227184,0.779860976
CPM,0.780200392,0.829006318
PRSS8,0.780161604,0.768818148
PEG10,0.780064622,0.83012805
AHNAK2,0.779931933,0.831102348
ITGAV,0.779928023,0.731433694
FBLIM1,0.77970603,0.813966588
SH2B2,0.779681453,0.64231523
ISYNA1,0.779558153,0.823274357
FNDC3B,0.779490053,0.732880102
APMAP,0.779420793,0.768884022
AHSG,0.779349596,0.384664017
COL4A2,0.779163017,0.819859223
MYO1F,0.779138118,0.353797429
MOXD1,0.779123476,0.785274477
ARHGAP18,0.779102887,0.816378129
PLEKHA6,0.778982606,0.817129885
ECI2,0.778805781,0.735382822
FKBP11,0.778612973,0.817588238
CTSZ,0.778611134,0.776312048
STRN3,0.778579936,0.76989028
CLMN,0.778473435,0.787017345
LRRC1,0.778434778,0.805562384
LGR5,0.778391211,0.554179567
E2F2,0.778332737,0.843544691
FAM167A,0.778173246,0.790322581
NOSTRIN,0.778124185,0.672834647
NDRG2,0.778025812,0.782660873
SYK,0.777768217,0.813019314
CAB39L,0.777602955,0.630583636
MGST1,0.777601703,0.837723864
FABP1,0.777556227,0.399169723
ITGA1,0.777423381,0.8333116
WWTR1,0.777359395,0.763820686
STX7,0.777260427,0.697431716
SMAP2,0.777230942,0.734004329
FAR2,0.777141996,0.802150502
IGLL1,0.777115695,0.336720462
LLGL2,0.777090385,0.832552281
LOXL2,0.777034895,0.803870874
FERMT2,0.776797209,0.855548636
S100A13,0.776783304,0.74439238
FCHO2,0.776782623,0.67196695
PLEKHO1,0.77652738,0.823921227
AGT,0.776453816,0.620434253
TINAGL1,0.77641577,0.813076721
FAM213A,0.776399159,0.800249567
MAOA,0.776334147,0.807117423
TSPAN15,0.776106896,0.812227904
LEPREL2,0.776074854,0.833937589
PDE4DIP,0.776065054,0.536084289
CD300A,0.776057723,0.662994668
PYGB,0.775985186,0.732375563
NAMPT,0.77592281,0.702396971
MRC2,0.775852745,0.806647415
RAB20,0.775825141,0.837740567
MDK,0.775824743,0.806207374
BCAM,0.775806589,0.822269039
SEMA6A,0.775763913,0.781001677
OCIAD2,0.775739887,0.867657101
HSD17B1,0.775693789,0.583638584
CRIM1,0.775634934,0.792316062
PLEKHA7,0.775630177,0.821498013
MAP2,0.775590345,0.805718025
FERMT1,0.775496236,0.819294161
GLIPR2,0.775430299,0.817461893
MEX3A,0.775416268,0.790527047
SCG2,0.775303127,0.469540383
GALNT6,0.775302908,0.815229331
PLBD1,0.775246331,0.812145595
PTGES,0.775165686,0.81062634
CDH11,0.775149941,0.714283077
IGF2BP2,0.775108834,0.810437165
IGFBP5,0.775035561,0.62446212
IL1A,0.775000613,0.619941053
FAM129C,0.77497084,0.358551308
DCDC2,0.774933174,0.717179653
LACTB2,0.774797731,0.754627917
TBC1D4,0.774736876,0.777225247
FGFR4,0.77453766,0.728505355
PRND,0.774461003,0.270695146
PRR9,0.774272567,0.730296743
MAGEA3,0.774156435,0.801046738
MEF2B,0.774070288,0.293200917
ATP10B,0.773882599,0.737874097
C1orf106,0.773792291,0.829993674
ERLIN2,0.773721429,0.757548697
EMILIN1,0.773694362,0.414799402
ABHD11,0.773537837,0.770115642
SV2A,0.773532384,0.778997992
AKR1C2,0.773506259,0.7157971
OLR1,0.773470373,0.589996152
PLEKHS1,0.773353659,0.749072066
CRYZ,0.773352306,0.75776889
MPDZ,0.77316886,0.762932953
PRAF2,0.772993673,0.748699878
SMAGP,0.772913823,0.769301713
G6PD,0.77286205,0.726525778
ORM1,0.772831223,0.346461846
HIP1,0.772824424,0.780332615
HNF4A,0.772759413,0.569288172
PPIC,0.772732209,0.689300343
ANO1,0.772729345,0.761196351
GPT,0.77271928,0.51496388
LEPREL1,0.772704202,0.823308196
COL9A2,0.77255766,0.722143851
LCA5,0.772553067,0.722741644
MFAP4,0.77253789,0.65
CUEDC1,0.77243789,0.734827416
MANEAL,0.772436957,0.732135303
ASGR2,0.772424371,0.465815031
NME3,0.772312748,0.746352593
ANKRD44,0.772268126,0.811757862
GSTP1,0.772153536,0.692017615
HOMER3,0.772122586,0.743078745
C10orf54,0.772099532,0.810779262
APOBEC3C,0.772046489,0.759793977
FARP1,0.771855472,0.786484372
SGK2,0.771727146,0.673729333
TBX15,0.771619946,0.777091377
DEF6,0.771483807,0.817970268
IRF5,0.771405187,0.781881373
ZNF512B,0.771385513,0.668694614
SEPT5,0.771368364,0.815080479
ATP2B4,0.771344484,0.798127072
NHS,0.771297857,0.829791793
ELOVL7,0.771200223,0.811094453
CXCL3,0.771197219,0.765567766
TPBG,0.771168652,0.822247419
PLEKHA2,0.771099693,0.788547882
SDC1,0.771076365,0.776167995
MID1,0.771038088,0.818240745
SCIN,0.77101197,0.715186526
TXNRD1,0.770937538,0.770287425
JAG1,0.770875869,0.798957317
SCARB2,0.770778946,0.76444328
NRP1,0.77067895,0.824109537
GSN,0.770609076,0.787316732
TRPV2,0.770586412,0.67226812
PPP1R13L,0.770526741,0.779455136
CMTM7,0.770390411,0.799181468
TES,0.770310183,0.685634152
PKP1,0.770285897,0.56483463
ERBB3,0.77023221,0.807810365
MPP1,0.770199506,0.813565683
FLRT3,0.770154718,0.81339126
MYLK,0.770059586,0.786028477
SORL1,0.77005378,0.81335912
MLPH,0.770017515,0.827406137
LACTB,0.770004732,0.759095684
ALDH3A2,0.769960046,0.756397916
SAGE1,0.769932282,0.603342292
DDX3Y,0.769903183,0.604467747
LAPTM5,0.769806022,0.679878049
AKR1C1,0.769756384,0.722306638
PSEN2,0.769741213,0.688321168
PKP2,0.769714843,0.869123249
MARVELD2,0.769685107,0.802270103
GSTM3,0.769671346,0.844270181
DOK3,0.769652108,0.40050605
SLC12A2,0.769401694,0.702561704
IRF7,0.769386149,0.735145331
CASP10,0.769375491,0.818129777
HOXD11,0.769272697,0.84842219
GJC1,0.769130178,0.850980392
ALDH4A1,0.769079366,0.735674924
MUC13,0.768981307,0.523429261
SLFN5,0.768973349,0.804761748
IL21R,0.768972713,0.618163055
EPHB1,0.768953688,0.637065637
SP100,0.768801394,0.790662857
CA14,0.768769246,0.498356983
ZFP3,0.768694381,0.760784314
HSD17B8,0.768675943,0.710817626
SH3PXD2B,0.768670054,0.825059396
NUDT12,0.768603209,0.790646426
BAIAP2,0.768565357,0.819783474
NPL,0.768536755,0.711869526
LAMA4,0.768522214,0.723333902
FRMD6,0.768369536,0.812555498
TLDC1,0.768361484,0.770364504
PIP4K2A,0.768261762,0.797125514
GRAMD2,0.768150862,0.725490196
PVRL2,0.768028605,0.684541415
COL12A1,0.768017666,0.796430628
PDGFRB,0.768013887,0.653465765
GAS1,0.767998775,0.732771536
PITPNC1,0.767994105,0.778111866
CD79A,0.767891174,0.438050586
ELAVL2,0.767808698,0.753647396
STAC3,0.767808584,0.135135135
PIM1,0.76779998,0.510989011
HID1,0.767768204,0.800207281
TOX2,0.767729548,0.822843682
CLU,0.76771489,0.793906993
COMT,0.767703455,0.760308974
CD248,0.767699895,0.347664538
SDPR,0.767618704,0.739075731
ARHGEF5,0.767601623,0.788576421
CARD9,0.767543955,0.650304735
FECH,0.767498395,0.738181404
CYP27A1,0.767424298,0.752817857
GATA1,0.767417286,0.368749983
GSDMD,0.767409432,0.708699596
ELF1,0.767401722,0.752776139
ZNF670,0.767370805,0.720835537
HMGCS2,0.767336098,0.438789924
MYO6,0.767303167,0.802789417
CYGB,0.767208485,0.519898741
MYO5A,0.767147619,0.779909243
TSPAN8,0.767006495,0.595324031
CTHRC1,0.766976357,0.752158202
MPP7,0.766951039,0.8240263
FOXP1,0.766915798,0.753092897
RAB27B,0.766646107,0.824948007
FN1,0.766592106,0.773960196
SEPT10,0.766583405,0.638352247
SFN,0.766572533,0.802368302
PVRL1,0.766536774,0.746824447
SYPL1,0.766481532,0.73434954
CTSS,0.766444519,0.808719669
SIPA1,0.766355339,0.755022007
UGT2B4,0.766203287,0.206327409
PTPRJ,0.766165689,0.783097357
FLNC,0.766138328,0.710612473
NEO1,0.766106894,0.788932572
MST4,0.766095451,0.730409577
RCN1,0.765983635,0.765933397
C2CD2,0.765878741,0.718081842
ZEB1,0.765874568,0.824383232
SLC9A3R1,0.765821519,0.72848166
DOCK11,0.765650972,0.811065133
